recording_id,species_id,songtype_id,t_min,f_min,t_max,f_max,raw_recording_id
02b9a8ab9_71,0,1,35.3227,5906.25,36.6133,7500.0,02b9a8ab9
02f79ea92_72,22,1,56.9493,10687.5,58.5547,13687.5,02f79ea92
03049a445_73,23,1,46.022,7235.1562,52.1056,11283.3984,03049a445
0313e82cf_74,17,4,34.1013,1312.5,36.6347,7406.25,0313e82cf
0319f2979_75,15,1,19.8347,93.75,23.1787,1125.0,0319f2979
032cb2915_76,4,1,32.3467,2343.75,34.2027,4218.75,032cb2915
032cb2915_77,19,1,2.5973,281.25,4.1493,2812.5,032cb2915
0337b0224_78,3,1,48.8693,1031.25,49.6107,2812.5,0337b0224
034868b19_79,4,1,48.2987,2343.75,50.1547,4218.75,034868b19
034868b19_80,21,1,22.7787,3281.25,23.872,4125.0,034868b19
034f18a3e_81,5,1,10.528,4781.25,12.88,10406.25,034f18a3e
035095d4d_82,14,1,25.584,2531.25,26.1707,5531.25,035095d4d
035095d4d_83,16,4,50.2027,3093.75,52.0373,4593.75,035095d4d
035095d4d_84,19,1,18.064,281.25,19.616,2812.5,035095d4d
035095d4d_85,1,1,27.6107,3843.75,28.5067,5625.0,035095d4d
035095d4d_86,4,1,5.5947,2343.75,7.4507,4218.75,035095d4d
036726d38_87,2,1,39.7547,468.75,41.5307,3000.0,036726d38
036726d38_88,1,1,23.3547,3843.75,24.2507,5625.0,036726d38
036726d38_89,7,1,33.168,4687.5,36.3093,11437.5,036726d38
0384c1b79_90,7,1,43.3867,4687.5,46.528,11437.5,0384c1b79
0384c1b79_91,16,4,15.888,3093.75,17.7227,4593.75,0384c1b79
0384c1b79_92,2,1,5.6853,468.75,7.4613,3000.0,0384c1b79
0384c1b79_93,20,1,9.1307,2343.75,12.5707,5718.75,0384c1b79
038dfd032_94,15,1,11.4027,93.75,14.7467,1125.0,038dfd032
038dfd032_95,21,1,17.0933,3281.25,18.1867,4125.0,038dfd032
03971ab79_96,22,1,2.704,10687.5,4.3093,13687.5,03971ab79
03971ab79_97,18,1,1.872,3187.5,2.5653,5062.5,03971ab79
039dd83e7_98,20,1,16.0053,2343.75,19.4453,5718.75,039dd83e7
039dd83e7_99,2,1,57.8773,468.75,59.6533,3000.0,039dd83e7
039dd83e7_100,8,1,13.7173,3750.0,17.84,5531.25,039dd83e7
03a7d9ad6_101,20,1,5.184,2343.75,8.624,5718.75,03a7d9ad6
03a7d9ad6_102,19,1,43.2427,281.25,44.7947,2812.5,03a7d9ad6
03ac92720_103,10,1,39.6132,947.4609,42.0571,10852.7344,03ac92720
03b0b2911_104,17,1,52.9813,1312.5,59.4347,3937.5,03b0b2911
03b0b2911_105,5,1,36.5653,4781.25,38.9173,10406.25,03b0b2911
03b96f209_106,15,1,53.8347,93.75,57.1787,1125.0,03b96f209
03c7f5878_107,2,1,49.9307,468.75,51.7067,3000.0,03c7f5878
03c7f5878_108,20,1,43.0987,2343.75,46.5387,5718.75,03c7f5878
03e8c2dc8_109,17,4,4.3733,1312.5,6.9067,7406.25,03e8c2dc8
03e8c2dc8_110,1,1,29.344,3843.75,30.24,5625.0,03e8c2dc8
03e8c2dc8_111,9,1,33.856,1125.0,36.6613,5250.0,03e8c2dc8
03e8c2dc8_112,12,1,22.2133,562.5,25.3493,3281.25,03e8c2dc8
03f26cc6b_113,22,1,39.152,10687.5,40.7573,13687.5,03f26cc6b
0406f2e0c_114,11,1,37.5002,1808.7891,38.63800000000001,5684.7656,0406f2e0c
0406f2e0c_115,21,1,42.1173,3281.25,43.2107,4125.0,0406f2e0c
0406f2e0c_116,19,1,30.7627,281.25,32.3147,2812.5,0406f2e0c
04230cfcd_117,13,1,51.5947,93.75,55.4667,1406.25,04230cfcd
04230cfcd_118,9,1,43.24800000000001,1125.0,46.0533,5250.0,04230cfcd
042638dad_119,2,1,3.744,468.75,5.52,3000.0,042638dad
0434aa9f1_120,10,1,41.0064,947.4609,43.4503,10852.7344,0434aa9f1
044215cde_121,23,1,12.5446,7235.1562,18.6282,11283.3984,044215cde
044f7a7e5_122,17,4,36.3627,1312.5,38.896,7406.25,044f7a7e5
044f7a7e5_123,23,4,11.9583,6459.9609,19.8821,11627.9297,044f7a7e5
044f7a7e5_124,5,1,21.8133,4781.25,24.1653,10406.25,044f7a7e5
044f7a7e5_125,13,1,29.28,93.75,33.152,1406.25,044f7a7e5
044f7a7e5_126,2,1,58.096,468.75,59.872,3000.0,044f7a7e5
0471295f3_127,1,1,25.9787,3843.75,26.8747,5625.0,0471295f3
048ac16fc_128,20,1,28.0213,2343.75,31.4613,5718.75,048ac16fc
048ac16fc_129,2,1,16.544,468.75,18.32,3000.0,048ac16fc
048ac16fc_130,14,1,10.2613,2531.25,10.848,5531.25,048ac16fc
048c43993_131,23,4,51.6992,6459.9609,59.62300000000001,11627.9297,048c43993
048c43993_132,8,1,55.4987,3750.0,59.6213,5531.25,048c43993
048eb9ffb_133,22,1,43.1947,10687.5,44.8,13687.5,048eb9ffb
049a76094_134,9,1,38.4107,1125.0,41.216,5250.0,049a76094
049a76094_135,23,4,33.8721,6459.9609,41.7959,11627.9297,049a76094
049a76094_136,14,1,2.9013,2531.25,3.488,5531.25,049a76094
049bbf288_137,17,1,26.8853,1312.5,33.3387,3937.5,049bbf288
049bbf288_138,23,4,24.3577,6459.9609,32.2815,11627.9297,049bbf288
049bbf288_139,21,1,22.8427,3281.25,23.936,4125.0,049bbf288
049bbf288_140,7,1,8.1013,4687.5,11.2427,11437.5,049bbf288
049bbf288_141,17,4,35.6213,1312.5,38.1547,7406.25,049bbf288
04a16424c_142,9,1,54.992,1125.0,57.7973,5250.0,04a16424c
04a16424c_143,16,4,54.576,3093.75,56.4107,4593.75,04a16424c
04af4dc74_144,18,1,49.088,3187.5,49.7813,5062.5,04af4dc74
04e36e3f3_145,22,1,18.192,10687.5,19.7973,13687.5,04e36e3f3
04e3e4104_146,18,1,39.56800000000001,3187.5,40.2613,5062.5,04e3e4104
04e70a8e3_147,6,1,12.064,562.5,14.208,4406.25,04e70a8e3
04e70a8e3_148,13,1,44.048,93.75,47.92,1406.25,04e70a8e3
04e70a8e3_149,1,1,52.4747,3843.75,53.3707,5625.0,04e70a8e3
04e70a8e3_150,13,1,40.272,93.75,44.144,1406.25,04e70a8e3
04e8c27b7_151,20,1,37.5573,2343.75,40.9973,5718.75,04e8c27b7
04e8c27b7_152,12,1,56.8213,562.5,59.9573,3281.25,04e8c27b7
04e8c27b7_153,8,1,4.3733,3750.0,8.496,5531.25,04e8c27b7
04e8c27b7_154,15,1,40.096,93.75,43.44,1125.0,04e8c27b7
04e8c27b7_155,18,1,47.0293,3187.5,47.7227,5062.5,04e8c27b7
04e8c27b7_156,23,4,38.9457,6459.9609,46.8695,11627.9297,04e8c27b7
04e90f0ff_157,3,1,53.0987,1031.25,53.84,2812.5,04e90f0ff
04efd6001_158,9,1,48.5227,1125.0,51.328,5250.0,04efd6001
04efd6001_159,7,1,12.4853,4687.5,15.6267,11437.5,04efd6001
04fb46abf_160,5,1,23.3013,5062.5,26.4107,11250.0,04fb46abf
04fb46abf_161,3,1,24.2613,1031.25,25.0027,2812.5,04fb46abf
050d0ca85_162,12,1,44.6027,562.5,47.7387,3281.25,050d0ca85
0511d5770_163,11,1,23.8353,1808.7891,24.9731,5684.7656,0511d5770
05194d95e_164,12,1,22.1547,562.5,25.2907,3281.25,05194d95e
051cddb21_165,23,4,17.1015,6459.9609,25.0253,11627.9297,051cddb21
052990102_166,4,1,1.4987,2343.75,3.3547,4218.75,052990102
052990102_167,14,1,18.784,2531.25,19.3707,5531.25,052990102
053aeb7bd_168,9,1,7.104,1125.0,9.9093,5250.0,053aeb7bd
053aeb7bd_169,16,4,8.96,3093.75,10.7947,4593.75,053aeb7bd
053aeb7bd_170,1,1,39.264,3843.75,40.16,5625.0,053aeb7bd
053aeb7bd_171,15,1,2.912,93.75,6.256,1125.0,053aeb7bd
053c2bfa7_172,23,1,45.2325,7235.1562,51.3161,11283.3984,053c2bfa7
05ac12261_173,15,1,0.7947,93.75,4.1387,1125.0,05ac12261
05ac12261_174,20,1,28.848000000000006,2343.75,32.288000000000004,5718.75,05ac12261
05ac12261_175,20,1,21.6107,2343.75,25.0507,5718.75,05ac12261
05ac12261_176,9,1,9.0187,1125.0,11.824000000000002,5250.0,05ac12261
05be38697_177,6,1,22.1333,562.5,24.1547,3187.5,05be38697
05be38697_178,9,1,30.016,1125.0,32.8213,5250.0,05be38697
05f4c463d_179,14,1,14.1013,2531.25,14.688,5531.25,05f4c463d
05f4c463d_180,15,1,28.4107,93.75,31.7547,1125.0,05f4c463d
05fddb6fb_181,5,1,49.2587,4781.25,51.6107,10406.25,05fddb6fb
05fddb6fb_182,8,1,34.8853,3750.0,39.008,5531.25,05fddb6fb
05fddb6fb_183,11,1,42.7712,1808.7891,43.9089,5684.7656,05fddb6fb
05fddb6fb_184,0,1,19.2693,5906.25,20.56,7500.0,05fddb6fb
05fddb6fb_185,14,1,25.6,2531.25,26.1867,5531.25,05fddb6fb
05fddb6fb_186,23,4,22.9994,6459.9609,30.9232,11627.9297,05fddb6fb
0608aef17_187,3,1,18.5493,1031.25,19.2907,2812.5,0608aef17
064d24348_188,16,4,44.8373,3093.75,46.672,4593.75,064d24348
065012e32_189,4,1,3.824,2343.75,5.68,4218.75,065012e32
065012e32_190,19,1,49.84,281.25,51.392,2812.5,065012e32
06523229a_191,5,1,49.6427,5062.5,52.752,11250.0,06523229a
06523229a_192,9,1,4.1067,1125.0,6.912000000000001,5250.0,06523229a
06523229a_193,20,1,31.3067,2343.75,34.7467,5718.75,06523229a
06523229a_194,8,1,34.751999999999995,3750.0,38.8747,5531.25,06523229a
065f57740_195,16,4,28.4747,3093.75,30.3093,4593.75,065f57740
065f57740_196,2,1,25.1253,468.75,26.9013,3000.0,065f57740
065f57740_197,21,1,28.5547,3281.25,29.648000000000003,4125.0,065f57740
0669568b1_198,0,1,47.24800000000001,5906.25,48.5387,7500.0,0669568b1
0669568b1_199,7,1,50.1227,4687.5,53.264,11437.5,0669568b1
0669568b1_200,17,4,27.6373,1312.5,30.1707,7406.25,0669568b1
06877eed1_201,4,1,45.5733,2343.75,47.4293,4218.75,06877eed1
06877eed1_202,2,1,54.7787,468.75,56.5547,3000.0,06877eed1
06877eed1_203,11,1,50.0506,1808.7891,51.1884,5684.7656,06877eed1
068f1b8e2_204,21,1,26.0747,3281.25,27.168000000000006,4125.0,068f1b8e2
069d5cd00_205,8,1,1.3813,3750.0,5.504,5531.25,069d5cd00
069f97b69_206,20,1,35.024,2343.75,38.464,5718.75,069f97b69
06c44d203_207,12,1,1.296,562.5,4.432,3281.25,06c44d203
06c44d203_208,1,1,13.3973,3843.75,14.2933,5625.0,06c44d203
06d8a3bae_209,13,1,34.0213,93.75,37.8933,1406.25,06d8a3bae
06d8a3bae_210,3,1,21.8293,1031.25,22.5707,2812.5,06d8a3bae
06d95a7e8_211,17,4,3.7707,1312.5,6.3039999999999985,7406.25,06d95a7e8
06d95a7e8_212,12,1,52.6613,562.5,55.7973,3281.25,06d95a7e8
06d95a7e8_213,1,1,4.4427,3843.75,5.3387,5625.0,06d95a7e8
06d95a7e8_214,5,1,3.248,4781.25,5.6,10406.25,06d95a7e8
06defceab_215,23,1,20.7702,7235.1562,26.8539,11283.3984,06defceab
06df23093_216,4,1,15.6373,2343.75,17.4933,4218.75,06df23093
06f60bd19_217,14,1,48.1387,2531.25,48.7253,5531.25,06f60bd19
06f60bd19_218,9,1,49.69600000000001,1125.0,52.5013,5250.0,06f60bd19
06f60bd19_219,22,1,35.8667,10687.5,37.472,13687.5,06f60bd19
06f60bd19_220,9,1,10.5013,1125.0,13.3067,5250.0,06f60bd19
06f60bd19_221,5,1,49.872,5062.5,52.9813,11250.0,06f60bd19
06fffb5aa_222,22,1,29.232,10687.5,30.8373,13687.5,06fffb5aa
070bbf5f9_223,5,1,18.896,5062.5,22.0053,11250.0,070bbf5f9
070bbf5f9_224,3,1,20.2453,1031.25,20.9867,2812.5,070bbf5f9
071632d14_225,8,1,1.5947,3750.0,5.7173,5531.25,071632d14
071823da4_226,6,1,10.8533,562.5,12.9973,4406.25,071823da4
072394f9f_227,16,4,10.3093,3093.75,12.144,4593.75,072394f9f
073e4d908_228,7,1,51.2533,4687.5,54.3947,11437.5,073e4d908
073e4d908_229,6,1,5.5627,562.5,7.7067,4406.25,073e4d908
073e4d908_230,14,1,38.0693,2531.25,38.656,5531.25,073e4d908
074978766_231,6,1,50.65600000000001,562.5,52.8,4406.25,074978766
074cf066a_232,7,1,47.712,4687.5,50.8533,11437.5,074cf066a
074cf066a_233,10,1,47.0668,947.4609,49.5107,10852.7344,074cf066a
0759cfd57_234,22,1,7.9413,10687.5,9.5467,13687.5,0759cfd57
076ba0261_235,18,1,20.912,3187.5,21.6053,5062.5,076ba0261
076ba0261_236,0,1,21.3653,5906.25,22.656,7500.0,076ba0261
07732dc66_237,15,1,8.448,93.75,11.792,1125.0,07732dc66
07732dc66_238,1,1,13.184,3843.75,14.08,5625.0,07732dc66
07748f4da_239,23,4,21.9487,6459.9609,29.8725,11627.9297,07748f4da
07748f4da_240,11,1,49.9055,1808.7891,51.0433,5684.7656,07748f4da
07748f4da_241,5,1,47.2107,4781.25,49.5627,10406.25,07748f4da
077b08bdb_242,8,1,0.8267,3750.0,4.9493,5531.25,077b08bdb
078788674_243,8,1,14.6827,3750.0,18.8053,5531.25,078788674
078788674_244,2,1,27.824,468.75,29.6,3000.0,078788674
079cef4b3_245,18,1,49.8293,3187.5,50.5227,5062.5,079cef4b3
079cef4b3_246,2,1,37.0507,468.75,38.8267,3000.0,079cef4b3
079cef4b3_247,17,1,35.7067,1312.5,42.16,3937.5,079cef4b3
07b5f24b6_248,6,1,6.7147,562.5,8.8587,4406.25,07b5f24b6
07c08e332_249,23,4,41.5521,6459.9609,49.4759,11627.9297,07c08e332
07e6ea0f8_250,4,1,19.0347,2343.75,20.8907,4218.75,07e6ea0f8
07e6ea0f8_251,16,4,56.7787,3093.75,58.6133,4593.75,07e6ea0f8
07edb03ee_252,23,4,34.5281,6459.9609,42.4519,11627.9297,07edb03ee
07edb03ee_253,7,1,42.70399999999999,4687.5,45.8453,11437.5,07edb03ee
07edb03ee_254,15,1,38.2667,93.75,41.6107,1125.0,07edb03ee
07f7c929f_255,7,1,22.2133,4687.5,25.3547,11437.5,07f7c929f
07f7c929f_256,4,1,55.1467,2343.75,57.0027,4218.75,07f7c929f
081028e00_257,18,1,1.072,3187.5,1.7653,5062.5,081028e00
08167c1c1_258,16,4,43.0773,3093.75,44.912,4593.75,08167c1c1
0819bd965_259,22,1,6.0907,10687.5,7.6960000000000015,13687.5,0819bd965
08243f982_260,23,1,1.2016,7235.1562,7.2853,11283.3984,08243f982
0839c1940_261,22,1,52.4587,10687.5,54.06399999999999,13687.5,0839c1940
083e92382_262,22,1,21.9733,10687.5,23.5787,13687.5,083e92382
083e92382_263,6,1,54.896,562.5,57.04,4406.25,083e92382
085457fb0_264,14,1,1.5573,2531.25,2.144,5531.25,085457fb0
08659843d_265,19,1,41.8293,281.25,43.3813,2812.5,08659843d
0868752e2_266,16,4,31.472,3093.75,33.3067,4593.75,0868752e2
0868752e2_267,15,1,41.88800000000001,93.75,45.232,1125.0,0868752e2
0876d30ac_268,23,1,49.6907,7235.1562,55.7743,11283.3984,0876d30ac
087e68d29_269,23,1,15.0523,7235.1562,21.136,11283.3984,087e68d29
08830e5c1_270,7,1,51.8667,4687.5,55.008,11437.5,08830e5c1
08830e5c1_271,17,1,52.2133,1312.5,58.6667,3937.5,08830e5c1
08830e5c1_272,20,1,10.56,2343.75,14.0,5718.75,08830e5c1
088a32d3e_273,23,1,50.9388,7235.1562,57.0224,11283.3984,088a32d3e
088d88a09_274,16,4,0.9547,3093.75,2.7893,4593.75,088d88a09
0898c36e0_275,4,1,1.2373,2343.75,3.0933,4218.75,0898c36e0
0898c36e0_276,23,4,16.0972,6459.9609,24.021,11627.9297,0898c36e0
0898c36e0_277,8,1,26.4427,3750.0,30.5653,5531.25,0898c36e0
0898c36e0_278,13,1,13.6373,93.75,17.5093,1406.25,0898c36e0
0898c36e0_279,9,1,1.2373,1125.0,4.0427,5250.0,0898c36e0
0898c36e0_280,15,1,27.2107,93.75,30.5547,1125.0,0898c36e0
08ad9244f_281,3,1,0.5973,1031.25,1.3387,2812.5,08ad9244f
08d0d47c3_282,7,1,42.288,4687.5,45.4293,11437.5,08d0d47c3
08db743d0_283,17,4,47.424,1312.5,49.9573,7406.25,08db743d0
08db743d0_284,8,1,48.7467,3750.0,52.8693,5531.25,08db743d0
08db743d0_285,0,1,45.0987,5906.25,46.3893,7500.0,08db743d0
08dc46957_286,2,1,34.8533,468.75,36.6293,3000.0,08dc46957
08dc46957_287,2,1,47.088,468.75,48.864,3000.0,08dc46957
08f1d28d2_288,11,1,16.5268,1808.7891,17.6646,5684.7656,08f1d28d2
08f1d28d2_289,16,4,37.6427,3093.75,39.4773,4593.75,08f1d28d2
08f1d28d2_290,23,4,43.5316,6459.9609,51.4554,11627.9297,08f1d28d2
08f1d28d2_291,17,1,8.3947,1312.5,14.848,3937.5,08f1d28d2
08fce68af_292,16,4,0.0533,3093.75,1.888,4593.75,08fce68af
08fce68af_293,13,1,3.0773,93.75,6.9493,1406.25,08fce68af
08fce68af_294,13,1,0.0107,93.75,3.8827,1406.25,08fce68af
090ae427d_295,3,1,33.3867,1031.25,34.128,2812.5,090ae427d
090ae427d_296,11,1,3.0244,1808.7891,4.1622,5684.7656,090ae427d
091a9a48c_297,2,1,39.6853,468.75,41.4613,3000.0,091a9a48c
091d8cc72_298,6,1,0.256,562.5,2.4,4406.25,091d8cc72
09315d9bf_299,23,1,42.3822,7235.1562,48.4659,11283.3984,09315d9bf
094641bb2_300,20,1,9.0293,2343.75,12.4693,5718.75,094641bb2
094641bb2_301,15,1,25.184,93.75,28.528,1125.0,094641bb2
094b0ce8e_302,7,1,45.9893,4687.5,49.1307,11437.5,094b0ce8e
094b0ce8e_303,20,1,48.8533,2343.75,52.2933,5718.75,094b0ce8e
094b72326_304,8,1,20.7147,3750.0,24.8373,5531.25,094b72326
094b72326_305,9,1,4.0213,1125.0,6.8267,5250.0,094b72326
094b72326_306,9,1,1.0827,1125.0,3.888,5250.0,094b72326
094b72326_307,10,1,39.5842,947.4609,42.0281,10852.7344,094b72326
095a6d245_308,12,1,53.2053,562.5,56.3413,3281.25,095a6d245
095a6d245_309,11,1,10.031,1808.7891,11.1688,5684.7656,095a6d245
095a6d245_310,17,4,57.2747,1312.5,59.808,7406.25,095a6d245
095ab4bbb_311,17,1,25.744,1312.5,32.1973,3937.5,095ab4bbb
095ab4bbb_312,19,1,0.9973,281.25,2.5493,2812.5,095ab4bbb
095e942f1_313,9,1,28.5013,1125.0,31.3067,5250.0,095e942f1
095e942f1_314,11,1,18.3786,1808.7891,19.5164,5684.7656,095e942f1
0968aea09_315,19,1,12.5813,281.25,14.1333,2812.5,0968aea09
0968aea09_316,10,1,45.2789,947.4609,47.7228,10852.7344,0968aea09
097a91620_317,23,4,47.1539,6459.9609,55.0777,11627.9297,097a91620
097a91620_318,7,1,49.5467,4687.5,52.688,11437.5,097a91620
097a91620_319,5,1,5.056,4781.25,7.407999999999999,10406.25,097a91620
097a91620_320,17,1,48.2347,1312.5,54.688,3937.5,097a91620
09bb67de8_321,6,1,6.3413,562.5,8.4853,4406.25,09bb67de8
09bfcc3a5_322,3,1,12.7787,1031.25,13.52,2812.5,09bfcc3a5
09bfcc3a5_323,14,1,44.096,2531.25,44.6827,5531.25,09bfcc3a5
09faf10ca_324,15,1,54.048,93.75,57.392,1125.0,09faf10ca
09faf10ca_325,11,1,45.1628,1808.7891,46.3006,5684.7656,09faf10ca
09fe8c9ea_326,18,1,40.3573,3187.5,41.0507,5062.5,09fe8c9ea
0a1660b55_327,13,1,39.5733,93.75,40.1973,843.75,0a1660b55
0a29fd478_328,10,1,56.2155,947.4609,58.6594,10852.7344,0a29fd478
0a33527e9_329,12,1,42.3307,562.5,45.4667,3281.25,0a33527e9
0a33527e9_330,14,1,32.08,2531.25,32.6667,5531.25,0a33527e9
0a4e7e350_331,12,1,8.9707,562.5,12.1067,3281.25,0a4e7e350
0a4e7e350_332,1,1,27.872,3843.75,28.768,5625.0,0a4e7e350
0a4e7e350_333,10,1,24.0965,947.4609,26.5404,10852.7344,0a4e7e350
0a4e7e350_334,5,1,18.9547,4781.25,21.3067,10406.25,0a4e7e350
0a4e7e350_335,20,1,38.8427,2343.75,42.2827,5718.75,0a4e7e350
0a4e7e350_336,12,1,53.504,562.5,56.64,3281.25,0a4e7e350
0a4f02024_337,6,1,35.3013,562.5,37.4453,4406.25,0a4f02024
0a65cc78c_338,10,1,39.1024,947.4609,41.5463,10852.7344,0a65cc78c
0a698a702_339,2,1,57.1947,468.75,58.9707,3000.0,0a698a702
0a864bdf1_340,11,1,8.2605,1808.7891,9.3983,5684.7656,0a864bdf1
0a864bdf1_341,3,1,57.4507,1031.25,58.192,2812.5,0a864bdf1
0a864bdf1_342,9,1,6.0427,1125.0,8.847999999999997,5250.0,0a864bdf1
0a8974fbc_343,17,1,17.8293,1312.5,24.2827,3937.5,0a8974fbc
0a8974fbc_344,8,1,35.408,3750.0,39.5307,5531.25,0a8974fbc
0a8974fbc_345,9,1,40.4053,1125.0,43.2107,5250.0,0a8974fbc
0a8974fbc_346,8,1,30.3413,3750.0,34.464,5531.25,0a8974fbc
0a9143370_347,17,1,16.448,1312.5,22.9013,3937.5,0a9143370
0a9143370_348,17,4,7.4293,1312.5,9.9627,7406.25,0a9143370
0a9143370_349,10,1,46.5966,947.4609,49.0405,10852.7344,0a9143370
0a9143370_350,19,1,51.4133,281.25,52.9653,2812.5,0a9143370
0a98ad3b6_351,15,1,46.7893,93.75,50.1333,1125.0,0a98ad3b6
0a98ad3b6_352,13,1,41.28,93.75,45.152,1406.25,0a98ad3b6
0a9a53ccc_353,11,1,21.2172,1808.7891,22.355,5684.7656,0a9a53ccc
0a9cdd8a5_354,23,4,3.0941,6459.9609,11.0179,11627.9297,0a9cdd8a5
